10,01/01/2022,05/01/2022,6,House Day service,Day
11,01/01/2022,07/01/2022,3,House Day service,Day
12,01/01/2022,01/02/2022,5,House Month service,Month
19,28/02/2022,01/03/2022,7,Room Day service,Day
13,01/03/2022,07/03/2022,1,Villa Day service,Day
15,01/05/2022,01/06/2022,3,Room Month service,Month
16,01/06/2022,07/06/2022,2,Room Day service,Day
17,20/07/2022,22/07/2022,2,Villa Year service,Year
18,21/07/2022,24/07/2022,2,Villa Year service,Year
14,01/08/2022,01/09/2022,4,Villa Month service,Month
